year,department_name,state,lat,lon,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k
1978,Cleveland,,41.5051613,-81.6934446,614512,213,507,6354,2623,9697,12,1578.000104,34.66165022,82.50449137,1033.9912,426.842763
1978,Columbus, Ohio,39.9622601,-83.0007065,578338,67,309,1923,1054,3353,12,579.7647742,11.58492093,53.42896369,332.5045216,182.246368
1978,Dallas,,32.7761963,-96.7968994,871832,230,822,3835,4997,9884,12,1133.704659,26.38122941,94.2842199,439.8783252,573.1608842
1978,Denver,,39.7391536,-104.9847034,485547,97,577,2362,1841,4877,12,1004.434174,19.97746871,118.8350458,486.4616608,379.1599989
1978,Detroit,,42.3486635,-83.0567375,1294359,498,1288,12283,7533,21602,12,1668.934198,38.47464266,99.50871435,948.9639273,581.986914
1978,El Paso, Texas,31.8111305,-106.5013493,399000,21,121,775,573,1490,12,373.433584,5.263157895,30.32581454,194.235589,143.6090226
1978,Fort Worth, Texas,32.753177,-97.3327459,375860,86,265,1218,1101,2670,12,710.3708828,22.88085989,70.50497526,324.0568297,292.928218
1978,Fresno, Calif.,36.7394421,-119.7848307,194774,42,114,1102,739,1997,12,1025.29085,21.56345303,58.5293725,565.7839342,379.4140902
1978,Houston,,29.7589382,-95.3676974,1486489,484,1098,7352,1918,10852,12,730.0424019,32.55994494,73.86532965,494.5882546,129.0288727
1978,Indianapolis,,39.7683331,-86.1583502,513271,76,341,1963,1353,3733,12,727.2961067,14.8069928,66.43663873,382.4490376,263.6034376
1978,Jacksonville, Fla.,30.3321838,-81.655651,523199,79,278,1347,2664,4368,12,834.863981,15.09941724,53.13465813,257.4546205,509.1752851
1978,Kansas City, Mo.,39.0844687,-94.5630298,463931,115,342,1864,2708,5029,12,1083.997405,24.78816893,73.71785891,401.783886,583.707491
